0 | 34481 | itzykson_c_ | c.itzykson | 1 | 2 | 2 | paper title 
1 | 42673 | zuber_j.-b. | j.-b.zuber | 2 | 2 | 2 | paper title 
2 | 30729 | bonechi_f_ | f.bonechi | 1 | 3 | 3 | paper title 
3 | 31295 | celeghini_e_ | e.celeghini | 2 | 3 | 3 | paper title 
4 | 33229 | giachetti_r_ | r.giachetti | 3 | 3 | 3 | paper title 
5 | 40606 | sorace_e_ | e.sorace | 4 | 3 | 3 | paper title 
6 | 41080 | tarlini_m_ | m.tarlini | 5 | 3 | 3 | paper title 
7 | 32048 | dijkgraaf_robbert_ | robbert dijkgraaf | 1 | 4 | 4 | paper title 
8 | 30517 | berkovits_nathan_ | nathan berkovits | 1 | 5 | 5 | paper title 
9 | 35258 | klebanov_igor_r | igor r.klebanov | 1 | 6 | 6 | paper title 
10 | 30524 | bernard_denis_ | denis bernard | 1 | 7 | 7 | paper title 
11 | 42710 | cvetic_mirjam_ | mirjam cvetic | 1 | 8 | 8 | paper title 
12 | 33529 | griffies_stephen_ | stephen griffies | 2 | 8 | 8 | paper title 
13 | 38949 | rey_soo-jong_ | soo-jong rey | 3 | 8 | 8 | paper title 
14 | 36800 | matsuda_satoshi_ | satoshi matsuda | 1 | 9 | 9 | paper title 
15 | 40381 | silverstein_eva_ | eva silverstein | 1 | 10 | 10 | paper title 
16 | 36676 | marshakov_a_ | a.marshakov | 1 | 11 | 11 | paper title 
17 | 37123 | mironov_a_ | a.mironov | 2 | 11 | 11 | paper title 
18 | 37305 | morozov_a_ | a.morozov | 3 | 11 | 11 | paper title 
19 | 36676 | marshakov_a_ | a.marshakov | 1 | 12 | 12 | paper title 
20 | 37123 | mironov_a_ | a.mironov | 2 | 12 | 12 | paper title 
21 | 37305 | morozov_a_ | a.morozov | 3 | 12 | 12 | paper title 
22 | 37123 | mironov_a_ | a.mironov | 1 | 13 | 13 | paper title 
23 | 42441 | zabrodin_a_ | a.zabrodin | 2 | 13 | 13 | paper title 
24 | 35060 | kharchev_s_ | s.kharchev | 1 | 14 | 14 | paper title 
25 | 36676 | marshakov_a_ | a.marshakov | 2 | 14 | 14 | paper title 
26 | 37123 | mironov_a_ | a.mironov | 3 | 14 | 14 | paper title 
27 | 37305 | morozov_a_ | a.morozov | 4 | 14 | 14 | paper title 
28 | 42441 | zabrodin_a_ | a.zabrodin | 5 | 14 | 14 | paper title 
29 | 30501 | berglund_p_ | p.berglund | 1 | 15 | 15 | paper title 
30 | 34252 | h_ubsch_t_ | t.h_ubsch | 2 | 15 | 15 | paper title 
31 | 34875 | kar_s_ | s.kar | 1 | 16 | 16 | paper title 
32 | 35065 | khastgir_s_ | s.khastgir | 2 | 16 | 16 | paper title 
33 | 35628 | kumar_a_ | a.kumar | 3 | 16 | 16 | paper title 
34 | 31255 | castellani_leonardo_ | leonardo castellani | 1 | 17 | 17 | paper title 
35 | 40073 | seiberg_nathan_ | nathan seiberg | 1 | 18 | 18 | paper title 
36 | 40230 | shenker_stephen_ | stephen shenker | 2 | 18 | 18 | paper title 
37 | 37999 | ogura_waichi_ | waichi ogura | 1 | 19 | 19 | paper title 
38 | 32084 | dixon_j_a | j.a.dixon | 1 | 20 | 20 | paper title 
39 | 32235 | duff_m_j | m.j.duff | 2 | 20 | 20 | paper title 
40 | 40152 | sezgin_e_ | e.sezgin | 3 | 20 | 20 | paper title 
41 | 33038 | galperin_a_s | a.s.galperin | 1 | 21 | 21 | paper title 
42 | 40738 | stelle_k_s | k.s.stelle | 2 | 21 | 21 | paper title 
43 | 39509 | russo_j_ | j.russo | 1 | 22 | 22 | paper title 
44 | 41406 | tseytlin_a_a | a.a.tseytlin | 2 | 22 | 22 | paper title 
45 | 32938 | fukutaka_hiroki_ | hiroki fukutaka | 1 | 23 | 23 | paper title 
46 | 38791 | pope_c_n | c.n.pope | 1 | 24 | 24 | paper title 
47 | 29970 | aratyn_h_ | h.aratyn | 1 | 25 | 25 | paper title 
48 | 32619 | ferreira_l_a | l.a.ferreira | 2 | 25 | 25 | paper title 
49 | 33350 | gomes_j_f | j.f.gomes | 3 | 25 | 25 | paper title 
50 | 42638 | zimerman_a_h | a.h.zimerman | 4 | 25 | 25 | paper title 
51 | 32759 | forger_m_ | m.forger | 1 | 26 | 26 | paper title 
52 | 35724 | laartz_j_ | j.laartz | 2 | 26 | 26 | paper title 
53 | 39865 | schaeper_u_ | u.schaeper | 3 | 26 | 26 | paper title 
54 | 33188 | gervais_jean-loup | jean-loup gervais | 1 | 27 | 27 | paper title 
55 | 36819 | matsuo_yutaka_ | yutaka matsuo | 2 | 27 | 27 | paper title 
56 | 34448 | isidro_j_m | j.m.isidro | 1 | 28 | 28 | paper title 
57 | 35726 | labastida_j_m_f | j.m.f.labastida | 2 | 28 | 28 | paper title 
58 | 39030 | ramallo_a_v | a.v.ramallo | 3 | 28 | 28 | paper title 
59 | 33062 | gannon_terry_ | terry gannon | 1 | 29 | 29 | paper title 
60 | 35750 | lam_c_s | c.s.lam | 2 | 29 | 29 | paper title 
61 | 34796 | kallosh_renata_ | renata kallosh | 1 | 30 | 30 | paper title 
62 | 32619 | ferreira_l_a | l.a.ferreira | 1 | 31 | 31 | paper title 
63 | 33350 | gomes_j_f | j.f.gomes | 2 | 31 | 31 | paper title 
64 | 39216 | ricotta_r_m | r.m.ricotta | 3 | 31 | 31 | paper title 
65 | 42638 | zimerman_a_h | a.h.zimerman | 4 | 31 | 31 | paper title 
66 | 39496 | ruiz--altaba_m_ | m.ruiz--altaba | 1 | 32 | 32 | paper title 
67 | 36734 | martins_marcio_j | marcio j.martins | 1 | 33 | 33 | paper title 
68 | 31390 | chekhov_l_ | l.chekhov | 1 | 34 | 34 | paper title 
69 | 36506 | makeenko_yu_ | yu.makeenko | 2 | 34 | 34 | paper title 
70 | 34468 | itoh_katsumi_ | katsumi itoh | 1 | 35 | 35 | paper title 
71 | 38022 | ohta_nobuyoshi_ | nobuyoshi ohta | 2 | 35 | 35 | paper title 
72 | 30136 | babelon_o_ | o.babelon | 1 | 36 | 36 | paper title 
73 | 41029 | talon_m_ | m.talon | 2 | 36 | 36 | paper title 
74 | 40667 | spiegelglas_mordechai_ | mordechai spiegelglas | 1 | 37 | 37 | paper title 
75 | 42318 | yankielowicz_shimon_ | shimon yankielowicz | 2 | 37 | 37 | paper title 
76 | 32573 | feinberg_joshua_ | joshua feinberg | 1 | 38 | 38 | paper title 
77 | 32561 | feher_l_ | l.feher | 1 | 39 | 39 | paper title 
78 | 37946 | o_raifeartaigh_l_ | l.o_raifeartaigh | 2 | 39 | 39 | paper title 
79 | 39483 | ruelle_p_ | p.ruelle | 3 | 39 | 39 | paper title 
80 | 41440 | tsutsui_i_ | i.tsutsui | 4 | 39 | 39 | paper title 
